team,class,name,description,youtube_link,alt_link
0,asdf,asdf,asdf,asfd,
1,egr202-16,TentHammoc,Tent+Hammoc,/assets/egr202_videos/Team 01.mp4,
2,egr202-16,The Cloud,Put your dreams in the cloud,/assets/egr202_videos/Team 02.mp4,
3,egr202-16,Ergo Drill,Do robot construction workers dream of electric drills,,/assets/egr202_videos/Team 03.mp4
4,egr202-16,Modular Mattress,,,/assets/egr202_videos/Team 04.mp4
5,egr202-16,Automated doggy feeder,,,/assets/egr202_videos/Team 05.mp4
6,egr202-16,Electric Drill,,,/assets/egr202_videos/Team 06.mp4
7,egr202-16,Dog refresher,,,/assets/egr202_videos/Team 07.mp4
8,egr202-16,Doggy fountain,,,/assets/egr202_videos/Team 08.mp4
9,egr202-16,Clothes Folder,,,/assets/egr202_videos/Team 09.mp4
10,egr202-16,Clothes Folder 2,,,/assets/egr202_videos/Team 10.mp4
