title,students,description,image,funding,dates,archived,key
Bio-inspired bipedal robot design,Sudhanshu Katarey,"My research draws inspiration from terrestrial avians in terms of development of an optimized leg design for bipedal walking, running and jumping. I will be applying the skills I have learned during the foldable robotics class in the estimation of kinematics, design and fabrication of the robotic leg using software such as Python and SolidWorks. To gauge the dynamics of the leg for different functions I will be using Unity Simulation Engine and Visual Studio to validate the results of experimental testing and biomechanics research.
My team has already created a model for the leg which we will begin to conduct experiments on. I have used Unity to help test motor parameters in order to select a motor with the best combination of gear ratios, masses and torques for our leg design.",,,,,biped
Wing Design,Vipul Gadekar,"The projects involve design of wings for a laminate biped robot for providing locomotion stabilization. The wings are designed to provide stabilization for different gait such as running, hopping and jumping. The project aims to develop a reliable dynamics model which includes biped dynamics as well as aerodynamics for creating and testing multiple designs optimized for various gaits. The aerodynamic simulations are run on a vortex-lattice code “VORLAX”, which provides numeric simulation of the defined geometric bodies. The simulations are then to be plugged into the robot dynamics model, which is to be utilized for robot design iterations, simulations and design of a controller. ",,,,,biped
SCRAM Platform 1,"Mohammad Sharifzadeh, Yuhao Jiang",coming soon…,,"This work is supported by <a href=""https://www.nsf.gov/awardsearch/showAward?AWD_ID=1935324"">NSF Award #1935324</a>",,,efri
Buoyancy Control of a Bio-inspired Robotic Fish,Alia Gilbert,"This project focuses on controlling the altitude of an underwater robot meant to do environmental cleanup of vegetation in a canal. A bladder modeled off fish anatomy will be designed containing two bulbs, likely of laminate material, with a tube containing a pump. The pump will transfer air between the two bulbs to control the direction of the buoyancy in the robot. The shift in buoyancy will allow the body of the robot to move either up or down. Using this laminate material in prototyping for underwater robotics allows for low cost testing and quick turnaround time for iterations. We will be checking consistency of the level that the robot is driving using an IMU to control the amount of water or air in the bulbs of the systems.",/assets/images/research/buoyancy-control1.png,,,x,fish
Phase II: Navigation and Control of an Autonomous Fish-Inspired Robot for Canal Cleaning and Maintenance,"Mohammad Sharifzadeh, Yuhao Jiang",,/assets/images/research/fish-phaseII.jpg,Funding for this project was provided in part by SRP.,,,fish
Phase I: Laminate Robot Platform to Facilitate Autonomous Canal Maintenance,Mohammad Sharifzadeh,"In this project, the goal is to build an AUV that explores the water canals and performs cleaning of these canals as necessary. We have selected the fin propulsion mechanism as the propulsion system for our AUV. Essentially, we are designing and building an underwater robot that will use a fin to move inside water. Our capability of using a laminated robot, will give us more advantage in easily gain the required stiffness in the tail in order to overcome the water drag.",/assets/images/research/fish1.png,Funding for this project was provided in part by SRP.,,x,fish
Design of a Hopping Platform using Laminate Construction,Jacob Knaup,"Taking advantage of laminate materials' flexibility, a high-performance jumping platform is developed. A physical prototype and accurate model of the design are sought in tandem with each being used to inform the other. This will result in a leg design to be incorporated into future jumping or hopping robots and a validated simulation that can be used to design future robots using the same methods.",/assets/images/research/jumper1.png,Funding for this project was provided by FURI and KEEN.,,x,foldable
Underactuated Laminate gripper with Low-Cost Sensing.,Drew Carlson,"This project explores the design and development of a robotic gripper using low cost materials. It uses a four-bar mechanism to grasp objects. The system is back driven until the finger makes contact with an object. The servo continues to drive over coming the force of a spring holding the gripper in a open position providing the method of under-actuation.   The laminate design allows for multiple materials to be used. This can be exploited to make the contact points more flexible for the inclusion of flex sensors. By using multiple low cost flex sensors the location, number, and amount of force being applied in the grip can be determined using beam theory as a model.",/assets/images/research/hand1.png,Funding for this project was provided by FURI.,,x,foldable
"Low-Cost, Modular Force Control Solution",Jacob Knaup,"Force control offers numerous benefits to robots over other control schemes such as more natural movements and increased sensitivity to the surrounding environment, but it is typically only available to high-end robots. This research aims to develop a modular force control solution for low-cost robots. The solution is designed to be easy to incorporate into future laminate robots, allowing the designer to add force control capabilities, while placing minimal constraints on the design.",/assets/images/research/four-bar-force-sensor1.png,Funding for this project was provided by FURI.,,x,foldable
Foldable Antenna,Clint Ewell,"The objective of this project is to investigate the relationship between deformation of a foldable antenna and effective wavelength. Understanding this association could allow for remote sensing of curvature in flexible robots. Alternatively, the correlation between deformation and effective wavelength could be leveraged to create tunable foldable antennas using closed-loop control techniques.",,This project is part of an ongoing Masters' thesis.,,,foldable
Design of a Cutting Tool for Clearing Underwater Vegetation,Sheena Benson,"The objective of this research is to further the development of the bio-inspired fish being and constructed by Dr. Aukes and his team of student researchers by designing an inexpensive, reliable, and effective cutting tool to be used in conjunction with the robotic fish to cut and reduce the number of underwater vegetation growing in canals and waterways here in Phoenix. Such a device would reduce the cost and manpower currently used to clear those canals. Without clearing aquatic plants from the canals, certain parts of the city would also become vulnerable to increased flooding in the event of a sudden downpour, leading to possible infrastructure damage. ",/assets/images/research/cutter.png,Funding for this project was provided by FURI.,,x,misc
